Name: 民视第一, URL: http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv003, From: subscribe, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 896 ms, Speed: 0.00 M/s, Resolution: None
Name: 民视电视台, URL: http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv155, From: subscribe, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 897 ms, Speed: 0.00 M/s, Resolution: None
Name: 民视电视台, URL: http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv002, From: subscribe, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 895 ms, Speed: 0.00 M/s, Resolution: None
Name: 民视新闻, URL: https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV17.m3u8, From: subscribe, IPv_Type: ipv6, Location: 美国, ISP: , Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 民视新闻, URL: http://xtvantsc.xyz/litv_ts.php?id=litv-ftv13, From: subscribe, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 876 ms, Speed: 0.00 M/s, Resolution: None
Name: 民视台湾, URL: http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv001, From: subscribe, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 900 ms, Speed: 0.00 M/s, Resolution: None
Name: 民视影剧, URL: http://xtvantsc.xyz/litv_ts.php?id=litv-ftv09, From: subscribe, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 1173 ms, Speed: 0.00 M/s, Resolution: None
Name: 民视旅游, URL: http://xtvantsc.xyz/litv_ts.php?id=litv-ftv07, From: subscribe, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 1179 ms, Speed: 0.00 M/s, Resolution: None
Name: 民视综艺, URL: http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv004, From: subscribe, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 831 ms, Speed: 0.00 M/s, Resolution: None
Name: 中视, URL: http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv040, From: subscribe, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 1183 ms, Speed: 0.00 M/s, Resolution: None
Name: 中视新闻, URL: https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV09.m3u8, From: subscribe, IPv_Type: ipv6, Location: 美国, ISP: , Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 中视经典, URL: http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv080, From: subscribe, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 949 ms, Speed: 0.00 M/s, Resolution: None
Name: 中视菁采, URL: http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv064, From: subscribe, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 711 ms, Speed: 0.00 M/s, Resolution: None
Name: 中天新闻, URL: https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV28.m3u8, From: subscribe, IPv_Type: ipv6, Location: 美国, ISP: , Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 中天新闻, URL: https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV49.m3u8, From: subscribe, IPv_Type: ipv6, Location: 美国, ISP: , Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 中天新闻, URL: http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv009, From: subscribe, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 897 ms, Speed: 0.00 M/s, Resolution: None
Name: 华视, URL: https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV12.m3u8, From: subscribe, IPv_Type: ipv6, Location: 美国, ISP: , Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 华视, URL: http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv041, From: subscribe, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 540 ms, Speed: 0.00 M/s, Resolution: None
Name: 华视新闻资讯, URL: http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv052, From: subscribe, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 1062 ms, Speed: 0.00 M/s, Resolution: None
Name: 靖天综合, URL: http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv046, From: subscribe, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 1103 ms, Speed: 0.00 M/s, Resolution: None
Name: 靖天国际, URL: http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv063, From: subscribe, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 553 ms, Speed: 0.00 M/s, Resolution: None
Name: 靖天戏剧, URL: http://pullpackage.alivecdn.com/live/pU4fD0cP0dx6iXknYRcEzuZOQ6P6z5FsZ9KvAOPGsBry6iYBSe.flv, From: subscribe, IPv_Type: ipv6, Location: 新加坡, ISP: , Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 靖天戏剧, URL: http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv058, From: subscribe, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 902 ms, Speed: 0.00 M/s, Resolution: None
Name: 靖天日本, URL: http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv047, From: subscribe, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 891 ms, Speed: 0.00 M/s, Resolution: None
Name: 靖天映画, URL: http://pullpackage.alivecdn.com/live/hTZYTLKukHNqDnshCwsOBdnFoZs5a4UeCJ396iYBSzJGOEv6kg.flv, From: subscribe, IPv_Type: ipv6, Location: 新加坡, ISP: , Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 靖天映画, URL: http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv055, From: subscribe, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 889 ms, Speed: 0.00 M/s, Resolution: None
Name: 靖天卡通, URL: http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv044, From: subscribe, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 876 ms, Speed: 0.00 M/s, Resolution: None
Name: 靖天资讯, URL: http://pullpackage.alivecdn.com/live/jSi62v69ef4x6iYBScl4GTgr9WaWuRtR1v7DfyIDrCzlEjd4oO.flv, From: subscribe, IPv_Type: ipv6, Location: 新加坡, ISP: , Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
