🇹🇼台灣頻道,#genre#
民視第一台,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv003
民視,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv002
民視,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv155
民視新聞台,http://xtvantsc.xyz/litv_ts.php?id=litv-ftv13
民視台灣台,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv001
民視旅遊台,http://xtvantsc.xyz/litv_ts.php?id=litv-ftv07
民視綜藝台,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv004
中視,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv040
中視經典台,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv080
中視菁采台,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv064
中天亞洲台,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv109
華視新聞台,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv052
靖天綜合台,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv046
靖天國際台,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv063
靖天戲劇台,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv058
靖天日本台,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv047
靖天映畫台,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv055
靖天卡通台,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv044
靖天育樂台,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv062
靖天資訊台,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv065
靖天電影台,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv061
靖天歡樂台,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv054
龍華卡通台,http://xtvantsc.xyz/litv_ts.php?id=litv-longturn01
龍華日韓台,http://xtvantsc.xyz/litv_ts.php?id=litv-longturn11
靖洋戲劇台,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv045
靖洋卡通,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv057
靖洋卡通,http://104.244.79.187:4994/proxy?url=http%3A//104.244.79.187%3A5050/litv/4gtv-4gtv057
寰宇新聞台灣台HD,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv156
寰宇新聞台灣台HD,http://xtvantsc.xyz/litv_ts.php?id=litv-longturn14
TVBS,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv073
TVBS新聞台,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv072
TVBS歡樂台,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv068
TVBS精采台,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv067
八大綜合台,http://udinlaw.sytes.net:8000/scripts/4gtv/index.php?id=4gtv-4gtv034
八大綜合台,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv034
台視,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv066
台視新聞台,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv051
博斯運動一台,http://xtvantsc.xyz/litv_ts.php?id=litv-longturn07
博斯運動二台,http://xtvantsc.xyz/litv_ts.php?id=litv-longturn08
博斯無限二台,http://xtvantsc.xyz/litv_ts.php?id=litv-longturn13
博斯網球台,http://tlive24.uk/livehttpplay?channel_id=42026
博斯高球二台,http://xtvantsc.xyz/litv_ts.php?id=litv-longturn06
博斯魅力網,http://tlive24.uk/livehttpplay?channel_id=42025
東森新聞台,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv152
東森財經新聞台,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv153
鏡電視新聞台,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv075
亞洲旅遊台,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv076
時尚運動X,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv014
影迷數位電影台,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv011
公視戲劇台,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv042
采昌影劇台,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv049
台灣戲劇台,http://xtvantsc.xyz/litv_ts.php?id=litv-longturn22
達文西頻道,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv018
豬哥亮歌廳秀,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv006
第1商業台,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv104
Smart知識台,http://xtvantsc.xyz/litv_ts.php?id=litv-longturn19

🇭🇰港·澳🌊,#genre#
凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G_audio.m3u8
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4_audio.m3u8

🎬电影频道,#genre#
星空卫视,http://122.53.222.9:9981/stream/channelid/2084767267?profile=pass

🏀体育频道,#genre#
CCTV-5,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=8664&tk=e640d0a1bf70
CCTV-5,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=068b29&tk=822270345d4c
CCTV-5,http://ygbh.site/php/bfgd.php?id=064
CCTV-5+,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=e68000&tk=6949f8ce7202
