🇹🇼台灣頻道,#genre#
民视新闻,http://38.64.72.148/hls/modn/list/4012/chunklist0.m3u8
民视新闻,http://38.64.72.148/hls/modn/list/4012/chunklist1.m3u8
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
中视,http://51.89.166.17:3002/index.php?id=zhongshihd_twn
中天娛樂,http://61.221.215.25:8800/hls/47/index.m3u8
华视,rtmp://f13h.mine.nu:1935/sat/tv111
华视,http://51.89.166.17:3002/index.php?id=ctshd_twn
靖天戏剧,https://cdn.iptv8k.top/dl/jrys.php?id=318&time=20240926215313&ip=111.229.253.40
靖天映画,https://cdn.iptv8k.top/dl/jrys.php?id=320&time=20240926215313&ip=111.229.253.40
靖天资讯,https://cdn.iptv8k.top/dl/jrys.php?id=315&time=20240926215313&ip=111.229.253.40
TVBS,http://51.89.166.17:3002/index.php?id=tvbs
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8
八大第一,http://61.221.215.25:8800/hls/55/index.m3u8
三立INEWS,https://cdn.iptv8k.top/dl/jrys.php?id=273&time=20240926215313&ip=111.229.253.40
三立台湾,https://cdn.iptv8k.top/dl/jrys.php?id=269&time=20240926215313&ip=111.229.253.40
台视,rtmp://f13h.mine.nu/sat/tv071
台视,rtmp://f13h.mine.nu:1935/sat/tv071
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
台视新闻,http://38.64.72.148/hls/modn/list/4013/chunklist1.m3u8
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
台视新闻,http://38.64.72.148/hls/modn/list/4013/chunklist0.m3u8
东森综合,https://cdn.iptv8k.top/dl/jrys.php?id=220&time=20240926215313&ip=111.229.253.40
东森综合,https://cdn.iptv8k.top/dl/jrys.php?id=221&time=20240926215313&ip=111.229.253.40
东森综合,https://cdn.iptv8k.top/dl/jrys.php?id=221&amp;time=20240926215313&amp;ip=111.229.253.40
东森超视,https://cdn.iptv8k.top/dl/jrys.php?id=216&time=20240926215313&ip=111.229.253.40#rtmp://f13h.mine.nu/sat/tv331#rtmp://f13h.mine.nu/sat/tv331
东森超视,https://cdn.iptv8k.top/dl/jrys.php?id=216&time=20240926215313&ip=111.229.253.40
东森超视,https://cdn.iptv8k.top/dl/jrys.php?id=217&time=20240926215313&ip=111.229.253.40
东森超视,http://38.64.72.148:80/hls/modn/list/2013/chunklist0.m3u8
东森超视,http://38.64.72.148:80/hls/modn/list/2013/chunklist1.m3u8
东森电影,https://cdn.iptv8k.top/dl/jrys.php?id=231&time=20240926215313&ip=111.229.253.40
东森洋片,https://cdn.iptv8k.top/dl/jrys.php?id=232&time=20240926215313&ip=111.229.253.40
大爱1,http://smart.cityq.xyz:8278/daai_twn/playlist.m3u8?tid=ME5E3594665135946651&ct=19249&tsum=1628ac38fd6a79879fccae39de8e845b
大爱1,http://51.89.166.17:3002/index.php?id=daai_twn
緯來體育,rtmp://f13h.mine.nu/sat/tv721
緯來日本,rtmp://f13h.mine.nu/sat/tv771
Dali TV,http://www.dalitv.com.tw:4568/live/dali/index.m3u8

🎬电影频道,#genre#
CHC家庭影院,http://111.162.206.84:8686/rtp/225.1.1.213:5002
CHC家庭影院,http://175.8.180.85:7878/udp/239.76.245.241:1234
CHC家庭影院,http://39.77.24.205:4002/rtp/239.253.254.152:8000
CHC家庭影院,http://175.8.180.85:7878/udp/239.76.252.241:9000
CHC家庭影院,http://59.173.120.39:4022/rtp/239.69.1.243:11100
CHC动作电影,http://111.162.206.84:8686/rtp/225.1.1.215:5002
CHC动作电影,https://isus.cc/php/huya.php?id=11602077
CHC动作电影,http://39.77.24.205:4002/rtp/239.253.254.153:8000
CHC动作电影,http://59.173.120.39:4022/rtp/239.69.1.242:11094
CHC动作电影,http://175.8.180.85:7878/udp/239.76.245.243:1234
淘剧场,http://115.171.80.57:1688/rtp/225.1.8.37:8002
淘剧场,http://114.254.33.216:18888/rtp/239.3.1.95:8001
淘娱乐,http://114.254.33.216:18888/rtp/239.3.1.100:8001
淘娱乐,http://115.171.80.57:1688/rtp/225.1.8.61:8002
淘电影,http://115.171.80.57:1688/rtp/225.1.8.38:8002
淘电影,http://114.254.33.216:18888/rtp/239.3.1.250:8001
淘电影,http://115.171.216.43:4000/rtp/225.1.8.38:8002
经典电影,https://cdn.iptv8k.top/dl/jrys.php?id=396&time=20240926215313&ip=111.229.253.40
IPTV经典电影,http://113.88.211.3:9898/hls/71/index.m3u8
天映经典,https://cdn.iptv8k.top/dl/jrys.php?id=71&time=20240926215313&ip=111.229.253.40
星空卫视,https://cdn.iptv8k.top/dl/jrys.php?id=21&time=20240926215313&ip=111.229.253.40
星空卫视,http://122.53.222.9:9981/stream/channelid/2084767267?profile=pass

🎥咪咕直播,#genre#

🏀体育频道,#genre#
CCTV-5,http://121.29.141.45:4022/rtp/239.253.92.181:6046
CCTV-5,http://111.162.206.84:8686/rtp/225.1.1.160:5002
CCTV-5,http://144.255.32.94:8288/udp/239.21.2.46:5002
CCTV-5,http://222.218.122.93:8188/udp/239.81.0.232:4056
CCTV-5,http://27.191.202.243:19999/rtp/239.254.201.153:7206
CCTV-5+,http://121.29.141.45:4022/rtp/239.253.92.82:8013
CCTV-5+,http://144.255.32.94:8288/udp/239.21.1.142:5002
CCTV-5+,http://222.218.122.93:8188/udp/239.81.0.101:4056
CCTV-5+,http://115.171.216.43:4000/rtp/225.1.8.20:8004
CCTV-5+,http://omnix.cn:4000/udp/225.1.8.20:8004
五星体育,https://gdcucc.v1.mk/gdcucc/wxty.m3u8
五星体育,http://223.167.245.20:8001/rtp/239.45.3.210:5140
山东体育,http://satellitepull.cnr.cn/live/wxsdtyxxgb/playlist.m3u8
山东体育,https://satellitepull.cnr.cn/live/wxsdtyxxgb/playlist.m3u8
睛彩篮球,http://114.254.33.216:18888/rtp/239.3.1.126:8001
睛彩广场舞,http://114.254.33.216:18888/rtp/239.3.1.128:8001
风云足球,http://111.162.206.84:8686/rtp/225.1.2.168:5002
风云足球,http://121.29.141.45:4022/rtp/239.253.93.254:6432
风云足球,http://27.191.202.243:19999/rtp/239.254.201.222:7251
风云足球,http://114.107.44.227:8188/rtp/238.1.79.57:4592
风云足球,http://106.116.242.116:9999/rtp/239.254.201.222:7251
天元围棋,http://121.29.141.45:4022/rtp/239.253.93.211:6389
天元围棋,http://106.116.242.116:9999/rtp/239.254.201.156:6270
天元围棋,http://27.191.202.243:19999/rtp/239.254.201.156:6270
天元围棋,http://27.184.29.42:12312/rtp/239.254.201.156:6270
天元围棋,http://61.159.135.17:18000/rtp/238.255.2.7:5999
快乐垂钓,http://121.29.141.45:4022/rtp/239.253.93.213:6391
快乐垂钓,http://115.171.80.57:1688/rtp/225.1.8.71:8002
快乐垂钓,http://106.116.242.116:9999/rtp/239.254.200.229:6257
快乐垂钓,http://114.107.44.227:8188/rtp/238.1.79.31:4360
快乐垂钓,http://114.254.33.216:18888/rtp/239.3.1.164:8001

🪁动画频道,#genre#
少儿动画,http://114.252.126.226:8899/hls/32/index.m3u8
动漫秀场,http://111.162.206.84:8686/rtp/225.1.1.134:5002
动漫秀场,http://27.184.29.42:12312/rtp/239.254.201.165:6358
动漫秀场,http://114.100.195.36:4022/rtp/238.1.78.154:7104
动漫秀场,http://114.107.44.227:8188/rtp/238.1.78.154:7104
动漫秀场,http://106.116.242.116:9999/rtp/239.254.201.165:6358
新动漫,http://222.218.122.93:8188/udp/239.81.0.235:4056
新动漫,http://171.104.106.97:50112/udp/239.81.0.235:4056
新动漫,http://111.162.206.84:8686/rtp/225.1.1.216:5002
新动漫,http://dassby.qqff.top:99/live/新动漫/index.m3u8
新动漫,rtsp://115.153.245.70/PLTV/88888888/224/3221226973/86129004.smil
CN卡通,https://cdn.iptv8k.top/dl/jrys.php?id=364&time=20240926215313&ip=111.229.253.40
优漫卡通,http://180.105.201.186:9981/rtp/239.49.8.119:8000
优漫卡通,http://121.231.65.66:8095/rtp/239.49.8.119:8000
金鹰卡通,http://phonetx.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwNi4xNC4zOC41NSZ0ZXJtPTUmcWlkPSZjZG5leF9pZD10eF9waG9uZV9saXZlJmNocz0mZGVmPTEmcz1mNGJhNmM1NWI5YjQyNTBmOGRlMGJmY2ZjNDc1NDhmZiZ1aWQ9JnV1aWQ9MDcwMzAwY2Y3YWI4NjBmZTdlMWU4NTZlNjllOTRhM2ItNmEwZTI2Mzcmdj0yJmFzPTAmZXM9MTc2MjUwNTc1NA,,/JYKTMPP360.m3u8
金鹰卡通,http://111.162.206.84:8686/rtp/225.1.2.236:5002
金鹰卡通,http://121.29.141.45:4022/rtp/239.253.92.163:8055
金鹰卡通,http://27.191.202.243:19999/rtp/239.254.200.92:9252
金鹰卡通,http://61.159.135.17:18000/rtp/238.255.2.55:5999
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8?
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8?#https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8#http://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
七龙珠,http://www.douzhicloud.site:35455/huya/11601966
蜡笔小新,http://www.douzhicloud.site:35455/bilibili/30837590

🎮游戏频道,#genre#
游戏风云,http://111.162.206.84:8686/rtp/225.1.1.135:5002
游戏风云,http://27.191.202.243:19999/rtp/239.254.201.163:6354
游戏风云,http://111.227.202.50:4022/rtp/239.254.201.163:6354
游戏风云,http://1.58.246.183:4000/rtp/229.58.190.114:5000
游戏风云,http://123.181.124.27:82/rtp/239.254.201.163:6354
游戏竞技,http://ygbh.site/php/bfgd.php?id=296
游戏竞技,http://ygbh.site/php/bfgd.php?id=142

🎵音乐频道,#genre#
